,track_artist,track_popularity,track_album_release_date,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity_label,release_date_label
46,Sean Paul,56.0,2019-10-25,pop,dance pop,0.789,0.893,10.0,-4.364,0.0,0.168,0.0538,0.0,0.221,0.41,121.956,144073.0,Medium,2015-2020
47,Charli XCX,57.0,2019-08-09,pop,dance pop,0.64,0.838,6.0,-4.203,1.0,0.0416,0.0588,1.99e-05,0.0424,0.587,124.081,193861.0,Medium,2015-2020
48,Estelle,56.0,2019-06-14,pop,dance pop,0.609,0.764,5.0,-4.564,0.0,0.111,0.0994,0.0,0.197,0.531,128.082,200625.0,Medium,2015-2020
49,Bastille,53.0,2019-09-27,pop,dance pop,0.64,0.992,4.0,-3.318,0.0,0.0585,0.0832,0.0083,0.109,0.479,123.951,166237.0,Medium,2015-2020
50,for KING & COUNTRY,56.0,2019-01-25,pop,dance pop,0.75,0.81,0.0,-4.607,0.0,0.0572,0.0917,1.59e-05,0.111,0.48,120.038,171500.0,Medium,2015-2020
51,Steve Aoki,34.0,2019-11-12,pop,dance pop,0.535,0.956,1.0,-2.996,0.0,0.0343,0.000609,0.0109,0.262,0.12,127.984,266719.0,Low,2015-2020
52,Lil Nas X,74.0,2019-04-29,pop,dance pop,0.766,0.771,6.0,-9.108,1.0,0.0576,0.00407,3.76e-06,0.113,0.297,140.036,204027.0,High,2015-2020
53,Starley,46.0,2019-11-15,pop,dance pop,0.649,0.821,10.0,-4.952,0.0,0.0472,0.017,0.000347,0.0655,0.394,125.977,203968.0,Medium,2015-2020
54,Calvin Harris,63.0,2018-10-19,pop,dance pop,0.588,0.697,3.0,-4.744,0.0,0.0372,0.186,0.000219,0.103,0.225,125.157,190417.0,Medium,2015-2020
55,R3HAB,55.0,2019-12-12,pop,dance pop,0.355,0.789,5.0,-4.358,0.0,0.165,0.0148,0.0,0.0355,0.169,80.444,237686.0,Medium,2015-2020
56,Why Don't We,52.0,2019-11-01,pop,dance pop,0.542,0.84,0.0,-5.283,0.0,0.0419,0.0336,8.45e-05,0.277,0.509,118.02,180361.0,Medium,2015-2020
57,Olympis,67.0,2019-11-01,pop,dance pop,0.735,0.5,8.0,-11.297,1.0,0.0511,0.415,3.12e-05,0.13,0.119,126.1,139048.0,Medium,2015-2020
58,DJ Snake,63.0,2019-08-09,pop,dance pop,0.752,0.84,6.0,-4.451,0.0,0.0373,0.00486,0.0109,0.0916,0.461,124.002,279800.0,Medium,2015-2020
59,Smash Mouth,60.0,2019-08-23,pop,dance pop,0.748,0.903,3.0,-5.877,0.0,0.0385,0.0324,0.0,0.106,0.751,115.018,217043.0,Medium,2015-2020
60,SHAED,45.0,2019-12-27,pop,dance pop,0.607,0.955,7.0,-3.613,0.0,0.102,0.0163,0.121,0.0725,0.501,125.984,230476.0,Medium,2015-2020
61,David Guetta,58.0,2019-07-11,pop,dance pop,0.607,0.995,9.0,-2.325,0.0,0.0487,0.0921,0.002,0.0445,0.664,124.998,188640.0,Medium,2015-2020
62,Kaskade,51.0,2019-09-12,pop,dance pop,0.679,0.786,1.0,-6.918,0.0,0.132,0.119,5.89e-06,0.224,0.47,126.092,196613.0,Medium,2015-2020
63,GASHI,58.0,2019-11-15,pop,dance pop,0.714,0.801,5.0,-5.8,0.0,0.0301,0.0204,0.00615,0.334,0.292,124.015,210000.0,Medium,2015-2020
64,Bazzi vs.,56.0,2018-09-28,pop,dance pop,0.69,0.862,2.0,-4.154,1.0,0.0944,0.0611,1.85e-05,0.238,0.453,121.975,187869.0,Medium,2015-2020
65,Khalid,60.0,2019-03-27,pop,dance pop,0.775,0.867,4.0,-7.388,0.0,0.204,0.0158,0.0117,0.0355,0.565,128.956,273229.0,Medium,2015-2020
66,Herve Pagez,48.0,2019-10-11,pop,dance pop,0.814,0.838,11.0,-5.547,1.0,0.0763,0.001,0.0223,0.0185,0.959,121.978,255861.0,Medium,2015-2020
67,Mark Ronson,56.0,2019-10-04,pop,dance pop,0.784,0.779,8.0,-5.48,1.0,0.0387,0.0357,0.025,0.0245,0.459,124.994,216714.0,Medium,2015-2020
68,James Arthur,56.0,2019-09-13,pop,dance pop,0.367,0.783,6.0,-4.504,1.0,0.154,0.00515,0.0,0.0545,0.289,88.013,192653.0,Medium,2015-2020
69,Arlissa,65.0,2018-02-09,pop,dance pop,0.609,0.83,6.0,-3.759,0.0,0.0793,0.201,6.18e-05,0.0321,0.604,117.833,238451.0,Medium,2015-2020
70,The Chainsmokers,39.0,2019-05-31,pop,dance pop,0.591,0.702,7.0,-5.59,1.0,0.0289,0.225,0.0,0.414,0.501,104.003,217653.0,Low,2015-2020
71,Sam Feldt,83.0,2019-05-24,pop,dance pop,0.59,0.642,7.0,-3.87,1.0,0.122,0.0771,0.0,0.105,0.651,107.356,174444.0,High,2015-2020
72,Marshmello,83.0,2019-03-08,pop,dance pop,0.791,0.565,5.0,-3.933,0.0,0.0439,0.0623,0.0,0.156,0.181,99.961,156347.0,High,2015-2020
73,5 Seconds of Summer,71.0,2019-07-12,pop,dance pop,0.564,0.747,5.0,-3.374,1.0,0.0584,0.0728,0.0,0.151,0.717,97.878,165767.0,High,2015-2020
74,Ellie Goulding,81.0,2019-04-12,pop,dance pop,0.669,0.801,8.0,-5.445,1.0,0.136,0.268,0.0,0.0594,0.541,109.919,201072.0,High,2015-2020
75,Katy Perry,85.0,2019-05-31,pop,dance pop,0.77,0.882,8.0,-4.792,1.0,0.0602,0.194,0.0,0.316,0.385,99.991,223523.0,High,2015-2020
76,Gryffin,76.0,2019-03-27,pop,dance pop,0.513,0.788,0.0,-4.629,1.0,0.0364,0.00968,0.0,0.11,0.234,139.987,238459.0,High,2015-2020
77,NOTD,71.0,2019-05-03,pop,dance pop,0.72,0.864,0.0,-3.249,1.0,0.208,0.0856,0.0,0.16,0.659,96.048,191612.0,High,2015-2020
78,Ed Sheeran,65.0,2019-10-04,pop,dance pop,0.789,0.858,5.0,-4.388,1.0,0.0404,0.22,4.58e-05,0.335,0.491,110.012,173455.0,Medium,2015-2020
79,The Chainsmokers,67.0,2019-07-24,pop,dance pop,0.294,0.505,3.0,-8.106,1.0,0.042,0.12,0.0,0.0977,0.357,85.332,209893.0,Medium,2015-2020
80,Zara Larsson,74.0,2019-06-21,pop,dance pop,0.665,0.799,6.0,-2.868,0.0,0.0617,0.18,0.0,0.125,0.5,101.976,228112.0,High,2015-2020
81,Jonas Blue,81.0,2019-03-22,pop,dance pop,0.46,0.8,1.0,-3.584,1.0,0.05,0.289,6.16e-06,0.121,0.553,102.46,220396.0,High,2015-2020
82,Kaskade,71.0,2019-06-14,pop,dance pop,0.362,0.921,1.0,-3.815,0.0,0.486,0.123,0.0,0.19,0.529,172.191,180840.0,High,2015-2020
83,Gryffin,75.0,2019-10-18,pop,dance pop,0.686,0.83,8.0,-4.437,1.0,0.0369,0.0948,1.33e-06,0.182,0.486,123.032,214634.0,High,2015-2020
84,Kygo,73.0,2019-05-23,pop,dance pop,0.618,0.66,11.0,-8.14,0.0,0.0372,0.0292,2.07e-06,0.325,0.408,105.0,210944.0,High,2015-2020
85,Zara Larsson,79.0,2018-10-18,pop,dance pop,0.665,0.699,11.0,-5.265,1.0,0.0578,0.423,0.0,0.0969,0.585,124.896,190932.0,High,2015-2020
86,NOTD,74.0,2018-03-16,pop,dance pop,0.661,0.725,6.0,-4.859,1.0,0.0563,0.0253,0.0,0.123,0.605,119.927,197939.0,High,2015-2020
87,3LAU,63.0,2019-03-01,pop,dance pop,0.571,0.752,3.0,-4.872,1.0,0.0293,0.0196,6.92e-05,0.114,0.25,102.043,192941.0,Medium,2015-2020
88,Kygo,79.0,2019-04-19,pop,dance pop,0.591,0.705,9.0,-6.519,0.0,0.079,0.381,0.000116,0.131,0.27,121.799,215316.0,High,2015-2020
89,Jonas Blue,16.0,2018-11-09,pop,dance pop,0.652,0.898,7.0,-4.481,0.0,0.0361,0.29,0.0,0.073,0.472,114.043,193377.0,Low,2015-2020
90,Shawn Mendes,75.0,2018-09-27,pop,dance pop,0.706,0.855,10.0,-5.377,1.0,0.215,0.0911,0.0,0.347,0.293,107.184,201253.0,High,2015-2020
91,ILLENIUM,75.0,2019-08-16,pop,dance pop,0.404,0.806,2.0,-4.75,1.0,0.0496,0.198,0.0,0.114,0.112,148.036,220730.0,High,2015-2020
92,Loud Luxury,55.0,2019-07-12,pop,dance pop,0.876,0.856,4.0,-3.884,1.0,0.0486,0.0812,1.29e-06,0.457,0.685,121.991,185062.0,Medium,2015-2020
93,Avicii,30.0,2019-04-10,pop,dance pop,0.802,0.645,5.0,-6.181,0.0,0.0715,0.272,0.0,0.119,0.376,100.001,157202.0,Low,2015-2020
94,Jax Jones,62.0,2019-07-12,pop,dance pop,0.906,0.832,5.0,-3.004,0.0,0.0718,0.0909,0.0,0.152,0.751,104.03,159753.0,Medium,2015-2020
95,Zedd,84.0,2018-01-23,pop,dance pop,0.753,0.657,7.0,-3.061,1.0,0.0449,0.171,0.0,0.112,0.437,107.01,184732.0,High,2015-2020
96,NOTD,70.0,2019-09-27,pop,dance pop,0.693,0.674,5.0,-4.449,1.0,0.0723,0.185,0.0,0.0639,0.378,95.972,160998.0,Medium,2015-2020
97,Steve Aoki,37.0,2019-07-12,pop,dance pop,0.672,0.815,1.0,-6.476,0.0,0.0981,0.00246,0.0,0.577,0.341,115.033,226093.0,Low,2015-2020
98,Gryffin,70.0,2019-10-24,pop,dance pop,0.581,0.76,0.0,-3.962,1.0,0.0406,0.16,0.0,0.183,0.523,104.099,205787.0,Medium,2015-2020
99,ILLENIUM,74.0,2019-05-13,pop,dance pop,0.643,0.594,2.0,-5.453,1.0,0.0318,0.0128,0.0,0.118,0.442,144.033,216668.0,High,2015-2020
100,Mabel,85.0,2019-01-18,pop,dance pop,0.674,0.881,9.0,-2.853,1.0,0.147,0.296,3.01e-06,0.0793,0.234,98.994,178480.0,High,2015-2020
101,A R I Z O N A,36.0,2019-06-18,pop,dance pop,0.691,0.538,0.0,-9.952,1.0,0.103,0.246,0.163,0.178,0.329,99.972,182668.0,Low,2015-2020
102,Steve Aoki,52.0,2019-09-06,pop,dance pop,0.661,0.758,7.0,-5.299,1.0,0.0864,0.0797,0.0,0.106,0.387,114.098,224061.0,Medium,2015-2020
103,Starley,58.0,2019-10-11,pop,dance pop,0.653,0.69,1.0,-5.003,1.0,0.0756,0.109,0.0,0.136,0.652,110.214,178501.0,Medium,2015-2020
104,Alesso,72.0,2019-06-14,pop,dance pop,0.734,0.693,0.0,-6.474,1.0,0.0361,0.0878,0.0,0.341,0.55,110.021,154024.0,High,2015-2020
105,ayokay,64.0,2018-08-31,pop,dance pop,0.663,0.696,11.0,-5.994,1.0,0.0349,0.0563,6.25e-06,0.226,0.449,139.98,197880.0,Medium,2015-2020
106,ARTY,63.0,2019-01-25,pop,dance pop,0.55,0.899,5.0,-3.284,0.0,0.0458,0.0113,9.65e-05,0.137,0.408,125.85,170079.0,Medium,2015-2020
107,Maggie Lindemann,77.0,2017-03-02,pop,dance pop,0.703,0.868,7.0,-4.661,0.0,0.0291,0.15,0.132,0.104,0.733,121.03,193613.0,High,2015-2020
108,Martin Garrix,76.0,2019-02-21,pop,dance pop,0.44,0.635,11.0,-6.385,1.0,0.0326,0.129,0.0,0.121,0.327,128.133,207095.0,High,2015-2020
109,Gryffin,74.0,2017-03-03,pop,dance pop,0.625,0.707,2.0,-4.761,1.0,0.0337,0.22,0.0,0.213,0.479,138.064,248156.0,High,2015-2020
110,Cashae,56.0,2019-07-12,pop,dance pop,0.625,0.719,4.0,-5.541,1.0,0.0612,0.048,0.0,0.0668,0.326,101.091,202072.0,Medium,2015-2020
111,Galantis,77.0,2019-10-25,pop,dance pop,0.547,0.795,8.0,-3.721,1.0,0.0489,0.145,0.0,0.11,0.723,118.118,186805.0,High,2015-2020
112,Kygo,71.0,2019-02-14,pop,dance pop,0.673,0.596,10.0,-7.891,1.0,0.0354,0.166,0.0,0.11,0.19,123.969,208567.0,High,2015-2020
113,Carly Rae Jepsen,64.0,2019-05-17,pop,dance pop,0.699,0.633,6.0,-6.547,1.0,0.0362,0.0453,0.0,0.101,0.458,123.449,184533.0,Medium,2015-2020
114,Tiësto,82.0,2019-05-31,pop,dance pop,0.647,0.726,3.0,-4.389,0.0,0.0552,0.157,0.0,0.0844,0.767,114.996,198996.0,High,2015-2020
115,Silk City,81.0,2018-09-06,pop,dance pop,0.588,0.67,0.0,-6.439,1.0,0.0473,0.0104,3.33e-06,0.338,0.505,118.159,238173.0,High,2015-2020
116,Shallou,41.0,2018-01-25,pop,dance pop,0.655,0.427,2.0,-11.684,0.0,0.0799,0.295,0.00108,0.0788,0.224,107.992,215446.0,Medium,2015-2020
117,benny blanco,62.0,2018-12-07,pop,dance pop,0.79,0.865,6.0,-4.159,1.0,0.0438,0.0264,0.0892,0.24,0.362,122.99,189165.0,Medium,2015-2020
118,Carly Rae Jepsen,5.0,2019-02-27,pop,dance pop,0.611,0.737,0.0,-5.154,0.0,0.0476,0.0145,0.0,0.107,0.574,124.169,200318.0,Low,2015-2020
119,R3HAB,72.0,2019-10-25,pop,dance pop,0.726,0.763,4.0,-6.872,1.0,0.0882,0.524,2.64e-06,0.0943,0.516,128.02,160312.0,High,2015-2020
120,DVBBS,24.0,2019-08-16,pop,dance pop,0.714,0.705,10.0,-6.479,1.0,0.0995,0.292,0.000386,0.126,0.471,114.994,219521.0,Low,2015-2020
121,Lost Kings,58.0,2017-10-13,pop,dance pop,0.619,0.938,5.0,-5.245,1.0,0.35,0.0257,1.39e-05,0.128,0.601,94.38,207428.0,Medium,2015-2020
122,Armin van Buuren,65.0,2019-07-12,pop,dance pop,0.575,0.808,1.0,-4.578,1.0,0.0439,0.0446,0.0,0.0693,0.232,127.922,179531.0,Medium,2015-2020
123,Alesso,64.0,2019-03-08,pop,dance pop,0.768,0.808,5.0,-1.818,1.0,0.112,0.00627,5.33e-06,0.343,0.664,119.971,166000.0,Medium,2015-2020
124,Elderbrook,53.0,2019-08-09,pop,dance pop,0.767,0.605,6.0,-5.737,0.0,0.188,0.559,0.000363,0.193,0.657,107.042,203200.0,Medium,2015-2020
125,Martin Garrix,72.0,2019-08-16,pop,dance pop,0.466,0.612,8.0,-4.855,0.0,0.0307,0.0655,4.07e-06,0.132,0.236,128.114,239067.0,High,2015-2020
126,FANNYPACK,39.0,2019-04-12,pop,dance pop,0.434,0.917,9.0,-3.613,0.0,0.0633,0.301,1.8e-05,0.289,0.622,121.967,147554.0,Low,2015-2020
127,Joel Corry,75.0,2019-04-05,pop,dance pop,0.744,0.79,8.0,-4.617,0.0,0.0562,0.0547,0.000802,0.32,0.847,125.002,188640.0,High,2015-2020
128,Herve Pagez,60.0,2019-05-30,pop,dance pop,0.837,0.818,8.0,-4.474,0.0,0.0533,0.0527,0.00642,0.11,0.484,109.993,157159.0,Medium,2015-2020
129,Lindsey Stirling,18.0,2019-08-02,pop,dance pop,0.514,0.856,2.0,-4.285,1.0,0.0717,0.00123,6.34e-06,0.544,0.351,117.014,228502.0,Low,2015-2020
130,Zedd,79.0,2017-02-23,pop,dance pop,0.69,0.622,5.0,-5.025,0.0,0.0622,0.253,0.0,0.116,0.544,102.04,210091.0,High,2015-2020
131,Armin van Buuren,60.0,2019-10-25,pop,dance pop,0.466,0.869,3.0,-4.275,1.0,0.0529,0.0142,0.00241,0.115,0.185,126.113,187150.0,Medium,2015-2020
132,DJ Snake,83.0,2018-09-28,pop,dance pop,0.842,0.801,8.0,-4.167,0.0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,212500.0,High,2015-2020
133,The Chainsmokers,85.0,2016-07-29,pop,dance pop,0.748,0.524,8.0,-5.599,1.0,0.0338,0.414,0.0,0.111,0.661,95.01,244960.0,High,2015-2020
134,ODESZA,47.0,2014-10-13,pop,dance pop,0.647,0.624,9.0,-8.446,1.0,0.0451,0.025,0.056,0.0616,0.477,115.002,243091.0,Medium,2010-2015
135,Zedd,74.0,2012-01-01,pop,dance pop,0.509,0.781,8.0,-3.48,1.0,0.072,0.0398,0.0,0.0749,0.176,128.0,271427.0,High,2010-2015
136,Clean Bandit,80.0,2018-05-17,pop,dance pop,0.737,0.636,11.0,-4.546,0.0,0.0437,0.0441,6.66e-05,0.35,0.565,105.005,222653.0,High,2015-2020
137,Martin Garrix,81.0,2017-01-27,pop,dance pop,0.584,0.54,1.0,-7.786,0.0,0.0576,0.0895,0.0,0.261,0.195,137.972,220883.0,High,2015-2020
138,Justin Bieber,76.0,2017-08-17,pop,dance pop,0.743,0.733,8.0,-5.337,1.0,0.0375,0.00402,0.0,0.304,0.622,104.977,189467.0,High,2015-2020
139,The Black Eyed Peas,96.0,2019-10-12,pop,dance pop,0.721,0.716,10.0,-7.037,0.0,0.0657,0.0334,0.00084,0.237,0.667,104.994,221714.0,High,2015-2020
140,Calvin Harris,84.0,2018-08-17,pop,dance pop,0.781,0.768,11.0,-5.991,1.0,0.0394,0.0119,4.91e-06,0.325,0.486,123.07,213309.0,High,2015-2020
141,Riton,86.0,2019-09-13,pop,dance pop,0.737,0.828,11.0,-4.711,1.0,0.0396,0.0149,0.000583,0.0862,0.517,124.052,208474.0,High,2015-2020
142,San Holo,68.0,2017-02-10,pop,dance pop,0.57,0.763,1.0,-4.137,1.0,0.0573,0.0857,2.49e-06,0.0932,0.43,150.088,239853.0,Medium,2015-2020
143,David Guetta,66.0,2017-06-09,pop,dance pop,0.551,0.651,8.0,-5.828,0.0,0.0594,0.225,0.0,0.224,0.562,144.875,194907.0,Medium,2015-2020
144,The Chainsmokers,83.0,2017-04-07,pop,dance pop,0.617,0.635,11.0,-6.769,0.0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,247160.0,High,2015-2020
145,Calvin Harris,85.0,2018-04-06,pop,dance pop,0.791,0.862,9.0,-3.24,0.0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,214847.0,High,2015-2020
146,Alesso,73.0,2015-05-26,pop,dance pop,0.503,0.748,5.0,-4.124,1.0,0.0619,0.0305,0.0,0.343,0.356,125.896,210013.0,High,2015-2020
147,Kygo,69.0,2017-02-17,pop,dance pop,0.64,0.533,0.0,-6.596,1.0,0.0706,0.119,0.0,0.0864,0.515,99.968,220781.0,Medium,2015-2020
148,Ne-Yo,69.0,2012-01-01,pop,dance pop,0.658,0.677,5.0,-6.628,1.0,0.0393,0.248,0.0,0.368,0.248,124.91,251627.0,Medium,2010-2015
149,DJ Snake,81.0,2016-08-05,pop,dance pop,0.649,0.716,8.0,-5.371,1.0,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,205947.0,High,2015-2020
150,The Chainsmokers,73.0,2015-06-16,pop,dance pop,0.713,0.802,4.0,-7.055,1.0,0.0561,0.0435,0.00377,0.309,0.343,100.001,226739.0,High,2015-2020
151,Zedd,61.0,2012,pop,dance pop,0.596,0.738,8.0,-3.109,1.0,0.0411,0.109,0.0,0.0947,0.461,127.961,217347.0,Medium,2010-2015
152,Disclosure,19.0,2013-01-01,pop,dance pop,0.503,0.727,1.0,-5.456,1.0,0.167,0.0159,9.45e-05,0.0895,0.521,121.985,255632.0,Low,2010-2015
